Product,Announcement,End-of-Sale Date,End-of-Support Date,Source URL,Vendor
MR34,2016-08-31,2016-10-31,2023-10-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
"AC-MR-1-XX(AU, EU, UK, US)",2016-02-09,2016-05-09,2023-05-09,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR26,2016-02-09,2016-05-09,2023-05-09,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX80,2016-01-26,2016-08-30,2023-08-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS320 & MS420 power supplies and fans,2015-11-16,2015-11-16,2022-11-16,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR12,2015-07-27,2015-10-24,2022-10-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX60W,2015-07-10,2015-10-24,2022-10-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX60,2015-07-10,2015-10-24,2022-10-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
ANT-13,2015-01-12,2015-04-24,2022-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
ANT-11,2015-01-12,2015-04-24,2022-04-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Systems Manager Support License,2014-09-22,2014-09-22,End of customer’s license,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
802.3af PoE Injector,2014-02-27,2014-05-31,2021-05-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR24,2014-02-27,2014-05-31,2021-05-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR16,2014-02-27,2014-05-31,2021-05-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS22/P and MS42/P licenses,2014-01-06,2014-01-25,N/A,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
SFP/SFP+ Accessories,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS42P,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS42,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS22P,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MS22,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX90,2013-11-05,2014-04-26,2021-04-26,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR58,2012-07-26,2012-10-30,2017-10-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
OD2,2012-07-26,2012-10-30,2017-10-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR14,2012-05-29,2012-08-30,2017-08-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR11,2012-05-29,2012-08-30,2017-08-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX70,2012-01-18,2012-03-31,2017-03-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MX50,2011-07-15,2011-09-30,2016-09-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Indoor,2011-03-03,2011-06-30,2016-06-30,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Mini,2010-09-03,2010-12-31,2017-09-25,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Wall Plug,2010-09-03,2010-12-31,2015-12-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Solar,2010-09-03,2010-12-31,2015-12-31,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
