Version,Release Date,End-of-Life Date,GlobalProtect App version,End-of-Engineering Date,End-of-Sale Product,End-of-Sale Date,Resources,Last Supported OS,Platform,End-of-Support Date, ,Product,Source URL,Vendor
,,2020-12-31,,,"LightCyber Magna Detector Virtual Appliance
(D-150V)","December 31, 2017",LightCyber Behavioral Analytics Datasheet,Magna 3.9,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,,2020-12-31,,,"LightCyber Magna Probe Virtual Appliance
(P-50TV)","December 31, 2017",LightCyber Behavioral Analytics Datasheet,Magna 3.9,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,,2020-12-31,,,LightCyber Magna Master Virtual Appliance (M-100V),"December 31, 2017",LightCyber Behavioral Analytics Datasheet,Magna 3.9,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,03/26/2018,2020-12-31,,,,,,,Evident.io,07/31/2020,Announcement,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
6.2,05/04/2023,2025-05-04,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
6.1,12/23/2022,2024-12-23,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
6.0,11/05/2022,2023-09-30,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.6,10/05/2021,2024-11-05,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.5,04/11/2021,2023-08-30,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.4,08/10/2020,2023-03-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.2,02/05/2020,2022-01-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.1,01/31/2019,2022-01-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.0,08/03/2018,2022-01-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.7,05/23/2018,2020-03-15,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.6,04/04/2018,2020-02-15,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.5,09/15/2017,2020-02-15,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.4,04/28/2017,2020-02-15,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,"January 5, 2009",2021-07-31,,,,,,,,,,BrightCloud,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
,,2024-07-31,,,"VM-Series Models
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)","July 31, 2021",Use Software NGFW Credits instead.,TBD,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
